Date,Open,High,Low,Close,Volume
2020/10/09 15:30:00,84.74,85.75,84.69,84.7634,5757030
2020/10/09 15:31:00,84.765,84.81,84.2,84.3,617027
2020/10/09 15:32:00,84.301,84.75,84.27,84.39,539098
2020/10/09 15:33:00,84.405,84.43,83.86,84.14,881313
2020/10/09 15:34:00,84.135,84.27,83.97,84.02,473809
2020/10/09 15:35:00,83.6782,83.8799,83.6782,83.8652,887369
2020/10/09 15:36:00,83.67,83.8526,83.5,83.7701,659041
2020/10/09 15:37:00,83.8985,84,83.77,83.79,496714
2020/10/09 15:38:00,83.75,84.005,83.75,83.851,467865
2020/10/09 15:39:00,83.75,83.8,83.7,83.73,410496
2020/10/09 15:40:00,83.67,83.7099,83.56,83.6533,346747
2020/10/09 15:41:00,83.92,83.96,83.9133,83.9133,437920
2020/10/09 15:42:00,84,84.1752,83.96,83.9831,503058
2020/10/09 15:43:00,84.17,84.28,84.09,84.27,461517
2020/10/09 15:44:00,84.25,84.4905,84.22,84.42,742992
2020/10/09 15:45:00,84.42,84.46,84.3,84.4383,419323
2020/10/09 15:50:00,85.0701,85.0701,85.0701,85.0701,2586906
2020/10/09 15:52:00,84.845,85.33,84.845,85.2406,537323
2020/10/09 15:53:00,85.24,85.24,84.9,84.9299,381080
2020/10/09 15:54:00,84.92,84.96,84.6801,84.73,471996
2020/10/09 15:55:00,84.73,84.84,84.57,84.75,407032
2020/10/09 15:56:00,84.74,85.06,84.6,84.6701,531088
2020/10/09 15:57:00,84.7,84.79,84.48,84.52,480775
2020/10/09 15:58:00,84.525,84.67,84.48,84.5133,232385
2020/10/09 15:59:00,84.5256,84.6299,84.51,84.6099,215365
2020/10/09 16:00:00,84.62,84.82,84.28,84.2917,308891
2020/10/09 16:01:00,84.2901,84.34,83.99,84.21,387757
2020/10/09 16:02:00,84.21,84.55,84.2,84.5299,282844
2020/10/09 16:03:00,84.525,84.7599,84.5101,84.69,249556
2020/10/09 16:04:00,84.71,84.77,84.63,84.65,152835
2020/10/09 16:05:00,84.65,84.66,84.3399,84.34,230870
2020/10/09 16:06:00,84.35,84.375,84.23,84.24,206175
2020/10/09 16:07:00,84.25,84.25,84.13,84.1699,182034
2020/10/09 16:08:00,84.1685,84.17,84.05,84.09,234848
2020/10/09 16:09:00,84.09,84.0999,84.01,84.0867,179407
2020/10/09 16:10:00,84.0882,84.19,84.01,84.06,327223
2020/10/09 16:11:00,84.06,84.19,84.03,84.1108,244545
2020/10/09 16:12:00,84.12,84.18,84.05,84.075,155554
2020/10/09 16:13:00,84.07,84.14,83.91,83.925,298004
2020/10/09 16:14:00,83.9299,83.96,83.81,83.84,167812
2020/10/09 16:15:00,83.8399,83.96,83.78,83.8901,217859
2020/10/09 16:16:00,83.91,84.16,83.9,84.06,185293
2020/10/09 16:17:00,84.054,84.0642,83.79,83.84,183740
2020/10/09 16:18:00,83.835,83.835,83.62,83.71,302836
2020/10/09 16:19:00,83.725,83.83,83.66,83.82,158953
2020/10/09 16:20:00,83.82,83.95,83.74,83.7401,268100
2020/10/09 16:21:00,83.74,83.76,83.56,83.62,273588
2020/10/09 16:22:00,83.6274,83.82,83.6,83.795,171957
2020/10/09 16:23:00,83.795,83.87,83.61,83.6204,258633
