Date,Open,High,Low,Close,Volume
2020/10/09 15:30:00,337.99,338.485,335.54,338.245,18571
2020/10/09 15:31:00,338.38,338.5,337.37,337.37,3303
2020/10/09 15:32:00,337,337.79,336.78,337.385,3971
2020/10/09 15:33:00,337.11,337.305,337.1,337.19,957
2020/10/09 15:34:00,336.97,336.97,336.74,336.74,2053
2020/10/09 15:35:00,335.79,336.21,335.4858,335.4858,790
2020/10/09 15:36:00,335.5584,335.5584,335.38,335.38,950
2020/10/09 15:37:00,335.23,336.68,335,336.1001,18431
2020/10/09 15:38:00,336.5,336.55,336.05,336.18,5608
2020/10/09 15:39:00,336.18,336.415,335.14,336,4996
2020/10/09 15:40:00,336,336.74,336,336.69,2775
2020/10/09 15:41:00,336.02,336.025,335.96,335.96,4551
2020/10/09 15:42:00,335.93,336.27,335.93,336.26,3657
2020/10/09 15:43:00,335.93,335.93,335.0701,335.36,1806
2020/10/09 15:44:00,335.355,335.81,334.9,335.76,13416
2020/10/09 15:45:00,335.42,335.495,334.785,334.785,3813
2020/10/09 15:46:00,334.93,335.06,334.81,335.04,3684
2020/10/09 15:47:00,335.27,336.23,335.27,335.96,3574
2020/10/09 15:48:00,335.87,336.02,335.65,335.87,638
2020/10/09 15:49:00,335.845,336.12,335.75,336.12,2383
2020/10/09 15:50:00,336.24,336.95,336.24,336.95,2660
2020/10/09 15:51:00,336.71,336.72,336.0275,336.033,4034
2020/10/09 15:52:00,336.195,336.44,336.195,336.435,2238
2020/10/09 15:53:00,336.32,336.32,335.725,335.725,1419
2020/10/09 15:54:00,335.67,336.09,335.42,336.09,1878
2020/10/09 15:55:00,336.14,336.3,336.13,336.3,1578
2020/10/09 15:56:00,336.2,336.22,336.07,336.125,1922
2020/10/09 15:57:00,336,336.06,335.83,335.95,1735
2020/10/09 15:58:00,335.85,335.85,335.65,335.65,742
2020/10/09 15:59:00,336.2,336.24,335.895,336.14,5650
2020/10/09 16:00:00,336.18,336.2,335.34,335.57,4821
2020/10/09 16:01:00,335.61,335.82,335.39,335.72,1323
2020/10/09 16:02:00,335.82,335.97,335.695,335.695,3457
2020/10/09 16:03:00,335.78,335.98,335.78,335.98,2515
2020/10/09 16:04:00,336.02,336.81,336.02,336.63,2201
2020/10/09 16:06:00,336.02,336.02,335.87,335.98,857
2020/10/09 16:07:00,335.605,335.605,335.275,335.525,3819
2020/10/09 16:08:00,335.33,335.44,335.15,335.44,2779
2020/10/09 16:09:00,335.42,335.46,334.87,334.915,4498
2020/10/09 16:10:00,334.915,335.12,334.905,335.12,2484
2020/10/09 16:11:00,335.2,335.57,335.2,335.57,2550
2020/10/09 16:12:00,335.37,335.37,334.795,334.865,4817
2020/10/09 16:13:00,334.84,335.14,334.685,334.785,4782
2020/10/09 16:14:00,334.92,335.55,334.92,335.55,3028
2020/10/09 16:15:00,335.5,335.57,335.45,335.45,1620
2020/10/09 16:16:00,335.62,335.8133,335.425,335.8133,3235
2020/10/09 16:17:00,335.555,335.69,334.835,335.1799,21175
2020/10/09 16:18:00,335,335.42,334.84,335.42,4505
2020/10/09 16:19:00,335.51,335.51,335.51,335.51,162
2020/10/09 16:20:00,335.43,335.43,335.355,335.355,1163
2020/10/09 16:21:00,335.43,335.6502,335.37,335.61,3109
2020/10/09 16:22:00,335.7,335.7,335.55,335.58,1757
2020/10/09 16:23:00,335.665,335.85,335.58,335.7,2646
2020/10/09 16:24:00,335.29,335.94,335.29,335.85,1995
2020/10/09 16:25:00,335.94,335.94,335.87,335.87,1038
2020/10/09 16:26:00,335.94,336.57,335.92,336.55,2496
2020/10/09 16:27:00,336.6,336.745,336.6,336.745,611
2020/10/09 16:28:00,336.52,337.12,336.52,337.12,2254
2020/10/09 16:29:00,337.225,337.61,337.225,337.57,2342
2020/10/09 16:30:00,337.6,337.655,337.6,337.655,597
2020/10/09 16:31:00,337.979,338.07,337.945,337.945,1226
2020/10/09 16:32:00,337.85,337.85,337.515,337.53,4253
2020/10/09 16:33:00,337.675,337.675,337.45,337.45,8045
2020/10/09 16:34:00,337.0231,337.0231,336.995,337,469
2020/10/09 16:35:00,337,337.35,336.9618,337.19,2137
2020/10/09 16:36:00,337.13,337.28,337.13,337.28,275
2020/10/09 16:37:00,337.15,338.015,337.15,338.015,2707
2020/10/09 16:38:00,338.01,338.08,337.84,337.86,2493
2020/10/09 16:39:00,337.72,337.84,337.38,337.38,6790
2020/10/09 16:40:00,337.29,337.37,336.91,337.37,7555
2020/10/09 16:41:00,337.315,337.96,337.315,337.92,1948
2020/10/09 16:42:00,338.01,338.905,337.61,338.81,10078
2020/10/09 16:43:00,338.98,338.98,338.52,338.59,2452
2020/10/09 16:44:00,338.81,338.81,338.51,338.51,3073
2020/10/09 16:45:00,338.51,338.555,338.37,338.5289,1026
2020/10/09 16:46:00,338.35,338.36,338.25,338.25,749
2020/10/09 16:47:00,338.26,338.3367,338.215,338.3367,1068
2020/10/09 16:48:00,338.42,338.53,338.31,338.31,1128
2020/10/09 16:49:00,338.3448,338.51,338.34,338.51,943
2020/10/09 16:50:00,338.52,338.65,338.47,338.59,1673
2020/10/09 16:51:00,338.56,338.56,338.45,338.45,620
2020/10/09 16:52:00,338.18,338.75,338.18,338.59,2426
2020/10/09 16:53:00,338.67,338.7347,338.49,338.49,2247
2020/10/09 16:54:00,338.42,338.42,338.18,338.26,616
2020/10/09 16:55:00,338.26,338.53,338.26,338.5,2076
2020/10/09 16:56:00,338.54,338.54,338.36,338.36,820
2020/10/09 16:57:00,338.33,338.55,338.33,338.55,1069
2020/10/09 16:58:00,338.43,338.55,338.2883,338.51,1591
2020/10/09 16:59:00,338.32,338.47,338.18,338.23,2600
2020/10/09 17:00:00,338.11,338.48,338.11,338.42,1840
2020/10/09 17:01:00,338.33,338.33,337.93,337.93,1404
2020/10/09 17:02:00,337.93,337.93,337.925,337.925,406
2020/10/09 17:03:00,337.8,337.96,337.75,337.84,1689
2020/10/09 17:04:00,337.95,338.25,337.95,338.12,1645
2020/10/09 17:05:00,338.11,338.17,338.035,338.08,1332
2020/10/09 17:06:00,337.9159,338.24,337.9159,338.2,1736
2020/10/09 17:07:00,338.21,338.31,337.9,338.05,2149
2020/10/09 17:08:00,337.89,337.975,337.89,337.975,911
2020/10/09 17:09:00,338.0201,338.04,337.91,337.91,1019
2020/10/09 17:10:00,338,338,338,338,280
2020/10/09 17:11:00,337.89,338,337.77,337.77,1096
2020/10/09 17:12:00,337.471,337.471,336.84,337.24,4778
2020/10/09 17:13:00,337.46,337.67,337.46,337.67,784
2020/10/09 17:14:00,337.62,337.7678,337.62,337.7678,333
2020/10/09 17:15:00,337.68,337.68,337.66,337.66,626
2020/10/09 17:16:00,337.84,337.84,337.32,337.32,1428
2020/10/09 17:17:00,337.36,337.455,337.32,337.4,1206
2020/10/09 17:18:00,337.54,337.55,337.54,337.55,399
2020/10/09 17:19:00,337.61,337.61,337.04,337.12,1842
2020/10/09 17:20:00,337.28,337.42,337.28,337.42,1049
2020/10/09 17:21:00,337.55,337.55,336.915,336.98,4955
2020/10/09 17:22:00,336.86,336.86,336.68,336.68,2186
2020/10/09 17:23:00,336.67,336.67,336.13,336.14,1730
2020/10/09 17:24:00,336.23,336.73,336.22,336.41,5070
2020/10/09 17:25:00,336.54,336.55,336.42,336.42,645
2020/10/09 17:26:00,336.61,337,336.61,336.85,1285
2020/10/09 17:27:00,336.78,336.78,336.58,336.755,558
2020/10/09 17:28:00,336.755,336.755,336.71,336.71,391
2020/10/09 17:29:00,336.72,336.97,336.7,336.88,2914
2020/10/09 17:30:00,337.01,337.01,337.01,337.01,219
2020/10/09 17:31:00,337.13,337.24,336.79,337.24,16266
2020/10/09 17:32:00,337.48,337.485,337.44,337.485,496
2020/10/09 17:33:00,337.36,337.42,336.98,336.98,2853
2020/10/09 17:34:00,336.77,336.89,336.64,336.75,2135
2020/10/09 17:36:00,336.84,337.26,336.84,337.21,1849
2020/10/09 17:37:00,337.19,337.19,337.19,337.19,387
2020/10/09 17:38:00,337.07,337.43,337.07,337.43,932
2020/10/09 17:39:00,337.53,337.53,337.53,337.53,503
2020/10/09 17:40:00,337.59,337.59,337.26,337.26,817
2020/10/09 17:41:00,337.26,337.44,337.26,337.44,1168
2020/10/09 17:42:00,337.44,337.44,337.44,337.44,336
