Date,Open,High,Low,Close,Volume
2020/10/09 15:30:00,5.28,5.29,5.24,5.24,32818
2020/10/09 15:31:00,5.24,5.25,5.24,5.25,2360
2020/10/09 15:32:00,5.25,5.25,5.25,5.25,189
2020/10/09 15:34:00,5.2486,5.2686,5.2486,5.2686,6266
2020/10/09 15:35:00,5.265,5.2686,5.26,5.26,3725
2020/10/09 15:36:00,5.26,5.26,5.26,5.26,3151
2020/10/09 15:37:00,5.26,5.26,5.26,5.26,1180
2020/10/09 15:38:00,5.25,5.25,5.245,5.2466,1526
2020/10/09 15:39:00,5.245,5.2501,5.24,5.24,6432
2020/10/09 15:40:00,5.25,5.25,5.24,5.2401,1679
2020/10/09 15:41:00,5.24,5.24,5.24,5.24,13428
2020/10/09 15:42:00,5.24,5.24,5.225,5.225,6353
2020/10/09 15:44:00,5.23,5.2349,5.23,5.2349,539
2020/10/09 15:46:00,5.235,5.235,5.22,5.221,2204
2020/10/09 15:47:00,5.23,5.24,5.23,5.24,1209
2020/10/09 15:48:00,5.235,5.235,5.235,5.235,2111
2020/10/09 15:49:00,5.2311,5.2311,5.225,5.225,1024
2020/10/09 15:50:00,5.2201,5.2201,5.22,5.22,3713
2020/10/09 15:52:00,5.22,5.22,5.22,5.22,3431
2020/10/09 15:53:00,5.225,5.225,5.21,5.21,10970
2020/10/09 15:54:00,5.21,5.21,5.21,5.21,2627
2020/10/09 15:55:00,5.2199,5.22,5.2199,5.22,1837
2020/10/09 15:56:00,5.215,5.22,5.215,5.22,1000
2020/10/09 15:58:00,5.2202,5.2202,5.22,5.22,388
2020/10/09 15:59:00,5.21,5.2199,5.21,5.21,8230
2020/10/09 16:01:00,5.22,5.22,5.22,5.22,1060
2020/10/09 16:04:00,5.215,5.215,5.215,5.215,2222
2020/10/09 16:05:00,5.215,5.215,5.215,5.215,410
2020/10/09 16:06:00,5.21,5.21,5.207,5.2099,2501
2020/10/09 16:07:00,5.21,5.21,5.21,5.21,106
2020/10/09 16:09:00,5.205,5.21,5.2015,5.2015,1050
2020/10/09 16:12:00,5.205,5.205,5.195,5.195,6685
2020/10/09 16:13:00,5.195,5.195,5.19,5.19,2400
2020/10/09 16:14:00,5.19,5.19,5.19,5.19,1037
2020/10/09 16:16:00,5.195,5.2,5.195,5.2,254
2020/10/09 16:17:00,5.2,5.2,5.2,5.2,1877
2020/10/09 16:23:00,5.19,5.19,5.19,5.19,1695
2020/10/09 16:24:00,5.1847,5.1847,5.17,5.17,2576
2020/10/09 16:25:00,5.172,5.172,5.17,5.17,8402
2020/10/09 16:26:00,5.1699,5.1699,5.1699,5.1699,278
2020/10/09 16:28:00,5.16,5.16,5.16,5.16,2755
2020/10/09 16:32:00,5.1508,5.1508,5.15,5.15,2150
2020/10/09 16:33:00,5.1566,5.1566,5.1566,5.1566,2262
2020/10/09 16:34:00,5.1501,5.155,5.15,5.15,9933
2020/10/09 16:35:00,5.1486,5.15,5.1486,5.15,774
2020/10/09 16:36:00,5.16,5.16,5.16,5.16,3286
2020/10/09 16:37:00,5.1669,5.1669,5.1669,5.1669,74
2020/10/09 16:38:00,5.17,5.1759,5.17,5.1752,1391
2020/10/09 16:40:00,5.175,5.1799,5.175,5.1799,998
2020/10/09 16:42:00,5.17,5.17,5.17,5.17,709
2020/10/09 16:43:00,5.1787,5.1787,5.1787,5.1787,700
2020/10/09 16:45:00,5.1786,5.1786,5.1786,5.1786,154
2020/10/09 16:46:00,5.175,5.175,5.175,5.175,1369
2020/10/09 16:47:00,5.1799,5.1799,5.1799,5.1799,163
2020/10/09 16:48:00,5.18,5.185,5.18,5.185,632
2020/10/09 16:50:00,5.18,5.18,5.18,5.18,1054
2020/10/09 16:51:00,5.18,5.18,5.18,5.18,1044
2020/10/09 16:52:00,5.18,5.18,5.1701,5.1701,3851
2020/10/09 16:53:00,5.175,5.175,5.17,5.17,585
2020/10/09 16:54:00,5.17,5.17,5.165,5.165,1534
2020/10/09 16:55:00,5.17,5.175,5.17,5.175,510
2020/10/09 16:56:00,5.18,5.18,5.18,5.18,384
2020/10/09 16:57:00,5.18,5.18,5.1786,5.1786,323
2020/10/09 16:58:00,5.175,5.175,5.175,5.175,182
2020/10/09 16:59:00,5.17,5.17,5.17,5.17,140
2020/10/09 17:01:00,5.18,5.18,5.18,5.18,1324
2020/10/09 17:03:00,5.18,5.18,5.1771,5.18,496
2020/10/09 17:04:00,5.18,5.18,5.18,5.18,142
2020/10/09 17:08:00,5.185,5.185,5.175,5.175,1180
2020/10/09 17:10:00,5.18,5.185,5.16,5.1699,31264
2020/10/09 17:11:00,5.165,5.165,5.16,5.165,557
2020/10/09 17:13:00,5.1613,5.1613,5.16,5.16,315
2020/10/09 17:14:00,5.16,5.16,5.15,5.15,5584
2020/10/09 17:15:00,5.1502,5.1502,5.1502,5.1502,134
2020/10/09 17:17:00,5.1567,5.1591,5.15,5.1591,899
2020/10/09 17:26:00,5.16,5.16,5.1599,5.16,22962
2020/10/09 17:27:00,5.1599,5.17,5.1599,5.17,7755
2020/10/09 17:28:00,5.17,5.17,5.17,5.17,87
2020/10/09 17:29:00,5.165,5.165,5.165,5.165,226
2020/10/09 17:30:00,5.17,5.17,5.17,5.17,127
2020/10/09 17:31:00,5.17,5.17,5.1699,5.1699,226
2020/10/09 17:32:00,5.17,5.17,5.17,5.17,147
2020/10/09 17:36:00,5.165,5.165,5.165,5.165,141
2020/10/09 17:38:00,5.16,5.16,5.16,5.16,5572
2020/10/09 17:39:00,5.1513,5.1513,5.1513,5.1513,193
2020/10/09 17:42:00,5.16,5.16,5.16,5.16,878
2020/10/09 17:43:00,5.155,5.155,5.15,5.15,27587
2020/10/09 17:44:00,5.15,5.16,5.15,5.15,1065
2020/10/09 17:45:00,5.151,5.16,5.151,5.16,609
2020/10/09 17:46:00,5.16,5.17,5.16,5.17,4256
2020/10/09 17:47:00,5.18,5.18,5.18,5.18,1319
2020/10/09 17:48:00,5.18,5.18,5.175,5.175,1844
2020/10/09 17:49:00,5.18,5.18,5.1799,5.1799,235
2020/10/09 17:52:00,5.18,5.18,5.175,5.18,482
2020/10/09 17:53:00,5.18,5.18,5.18,5.18,98
2020/10/09 17:55:00,5.1742,5.1742,5.1742,5.1742,909
2020/10/09 17:59:00,5.17,5.17,5.17,5.17,77
2020/10/09 18:01:00,5.17,5.17,5.165,5.17,6847
2020/10/09 18:03:00,5.17,5.17,5.17,5.17,1277
2020/10/09 18:04:00,5.17,5.17,5.17,5.17,441
2020/10/09 18:05:00,5.176,5.176,5.176,5.176,718
2020/10/09 18:07:00,5.17,5.17,5.17,5.17,1143
2020/10/09 18:12:00,5.18,5.19,5.18,5.19,7072
2020/10/09 18:16:00,5.18,5.18,5.18,5.18,1728
2020/10/09 18:17:00,5.175,5.175,5.175,5.175,210
2020/10/09 18:18:00,5.17,5.2,5.17,5.2,15203
2020/10/09 18:19:00,5.1999,5.1999,5.195,5.195,375
2020/10/09 18:20:00,5.2,5.23,5.2,5.205,15714
2020/10/09 18:24:00,5.2,5.2,5.2,5.2,2701
2020/10/09 18:25:00,5.205,5.205,5.205,5.205,388
2020/10/09 18:26:00,5.21,5.21,5.2,5.21,5589
2020/10/09 18:27:00,5.2,5.205,5.2,5.205,1652
2020/10/09 18:28:00,5.2,5.2,5.2,5.2,933
2020/10/09 18:29:00,5.195,5.195,5.195,5.195,104
2020/10/09 18:32:00,5.19,5.19,5.19,5.19,168
2020/10/09 18:36:00,5.1986,5.1986,5.1986,5.1986,70
2020/10/09 18:37:00,5.195,5.195,5.195,5.195,101
2020/10/09 18:40:00,5.19,5.19,5.19,5.19,72
2020/10/09 18:43:00,5.19,5.19,5.19,5.19,1437
2020/10/09 18:46:00,5.1943,5.1943,5.1943,5.1943,227
2020/10/09 18:48:00,5.19,5.19,5.19,5.19,189
2020/10/09 18:49:00,5.1976,5.1976,5.1976,5.1976,121
2020/10/09 18:52:00,5.19,5.19,5.1841,5.1841,2542
2020/10/09 18:56:00,5.1892,5.1892,5.1892,5.1892,837
2020/10/09 18:58:00,5.19,5.19,5.19,5.19,121
2020/10/09 18:59:00,5.1899,5.1899,5.189,5.189,205
2020/10/09 19:03:00,5.19,5.19,5.19,5.19,3171
2020/10/09 19:06:00,5.2,5.2,5.19,5.19,861
2020/10/09 19:10:00,5.2,5.2,5.2,5.2,168
2020/10/09 19:13:00,5.1954,5.1954,5.1954,5.1954,105
2020/10/09 19:14:00,5.2,5.2,5.2,5.2,77
2020/10/09 19:15:00,5.2,5.2,5.2,5.2,1427
2020/10/09 19:16:00,5.21,5.21,5.2001,5.203,273
2020/10/09 19:24:00,5.2,5.2,5.19,5.2,9804
2020/10/09 19:27:00,5.19,5.19,5.19,5.19,72
2020/10/09 19:28:00,5.2,5.2,5.2,5.2,160
2020/10/09 19:30:00,5.1962,5.1962,5.1962,5.1962,369
2020/10/09 19:31:00,5.195,5.195,5.195,5.195,70
2020/10/09 19:32:00,5.19,5.19,5.185,5.185,1743
2020/10/09 19:33:00,5.185,5.1857,5.185,5.1857,527
2020/10/09 19:34:00,5.185,5.185,5.185,5.185,753
2020/10/09 19:39:00,5.185,5.185,5.185,5.185,146
2020/10/09 19:40:00,5.1827,5.1827,5.1827,5.1827,210
2020/10/09 19:43:00,5.185,5.185,5.185,5.185,74
2020/10/09 19:46:00,5.185,5.185,5.185,5.185,730
2020/10/09 19:47:00,5.1849,5.19,5.18,5.19,805
2020/10/09 19:48:00,5.19,5.19,5.19,5.19,2153
2020/10/09 19:49:00,5.19,5.19,5.19,5.19,72
2020/10/09 19:57:00,5.19,5.19,5.19,5.19,70
2020/10/09 20:00:00,5.19,5.19,5.1899,5.1899,180
2020/10/09 20:07:00,5.1895,5.1895,5.1895,5.1895,70
2020/10/09 20:09:00,5.19,5.19,5.19,5.19,87
2020/10/09 20:10:00,5.185,5.185,5.185,5.185,73
2020/10/09 20:11:00,5.18,5.1802,5.175,5.175,2926
2020/10/09 20:14:00,5.18,5.18,5.1653,5.1653,3663
2020/10/09 20:16:00,5.165,5.165,5.165,5.165,212
2020/10/09 20:21:00,5.167,5.17,5.167,5.17,226
2020/10/09 20:23:00,5.17,5.17,5.17,5.17,91
2020/10/09 20:24:00,5.1699,5.1699,5.16,5.16,2590
2020/10/09 20:27:00,5.17,5.17,5.17,5.17,70
2020/10/09 20:30:00,5.17,5.17,5.165,5.165,402
2020/10/09 20:31:00,5.17,5.17,5.17,5.17,87
2020/10/09 20:32:00,5.17,5.17,5.161,5.161,770
2020/10/09 20:35:00,5.1665,5.1665,5.1665,5.1665,91
2020/10/09 20:37:00,5.161,5.161,5.161,5.161,175
2020/10/09 20:39:00,5.165,5.165,5.165,5.165,220
2020/10/09 20:45:00,5.17,5.17,5.17,5.17,266
2020/10/09 20:46:00,5.169,5.169,5.164,5.164,1793
2020/10/09 20:54:00,5.165,5.165,5.16,5.16,1947
2020/10/09 20:56:00,5.17,5.17,5.17,5.17,81
2020/10/09 20:58:00,5.16,5.16,5.16,5.16,165
2020/10/09 20:59:00,5.1686,5.1686,5.1686,5.1686,709
2020/10/09 21:00:00,5.1676,5.1676,5.1676,5.1676,96
2020/10/09 21:01:00,5.17,5.17,5.17,5.17,77
2020/10/09 21:04:00,5.1699,5.1699,5.1699,5.1699,142
2020/10/09 21:05:00,5.17,5.17,5.17,5.17,73
2020/10/09 21:06:00,5.17,5.17,5.17,5.17,193
2020/10/09 21:07:00,5.1686,5.1686,5.1686,5.1686,350
2020/10/09 21:08:00,5.165,5.165,5.165,5.165,1435
2020/10/09 21:09:00,5.165,5.165,5.165,5.165,71
2020/10/09 21:10:00,5.1627,5.1627,5.1627,5.1627,124
2020/10/09 21:13:00,5.165,5.165,5.165,5.165,184
2020/10/09 21:14:00,5.17,5.17,5.17,5.17,588
2020/10/09 21:18:00,5.17,5.17,5.17,5.17,100
2020/10/09 21:19:00,5.17,5.17,5.165,5.165,158
2020/10/09 21:20:00,5.165,5.165,5.165,5.165,71
2020/10/09 21:21:00,5.1672,5.1672,5.1672,5.1672,237
2020/10/09 21:22:00,5.1669,5.1669,5.1669,5.1669,265
2020/10/09 21:23:00,5.17,5.17,5.17,5.17,256
2020/10/09 21:26:00,5.165,5.165,5.1645,5.1645,596
2020/10/09 21:27:00,5.1699,5.17,5.1699,5.1699,3025
2020/10/09 21:28:00,5.1647,5.17,5.1647,5.17,2946
2020/10/09 21:30:00,5.165,5.17,5.165,5.17,1423
2020/10/09 21:31:00,5.17,5.17,5.17,5.17,192
2020/10/09 21:32:00,5.1698,5.1698,5.1698,5.1698,79
2020/10/09 21:34:00,5.165,5.165,5.165,5.165,73
2020/10/09 21:35:00,5.1698,5.1698,5.165,5.165,368
2020/10/09 21:36:00,5.17,5.17,5.17,5.17,217
2020/10/09 21:38:00,5.17,5.17,5.17,5.17,225
2020/10/09 21:40:00,5.17,5.17,5.165,5.165,336
2020/10/09 21:41:00,5.165,5.165,5.165,5.165,73
2020/10/09 21:42:00,5.165,5.17,5.165,5.165,3164
2020/10/09 21:43:00,5.1679,5.1679,5.1679,5.1679,247
2020/10/09 21:44:00,5.16,5.1664,5.16,5.1664,221
2020/10/09 21:45:00,5.16,5.16,5.155,5.16,4390
2020/10/09 21:46:00,5.16,5.17,5.16,5.165,2111
2020/10/09 21:47:00,5.16,5.165,5.16,5.165,1072
2020/10/09 21:48:00,5.17,5.17,5.165,5.169,1017
2020/10/09 21:49:00,5.16,5.16,5.16,5.16,77
2020/10/09 21:50:00,5.16,5.16,5.15,5.15,3565
2020/10/09 21:51:00,5.15,5.1501,5.15,5.15,1399
2020/10/09 21:52:00,5.15,5.1501,5.15,5.15,795
2020/10/09 21:53:00,5.15,5.155,5.15,5.15,2281
2020/10/09 21:54:00,5.15,5.155,5.15,5.155,530
2020/10/09 21:55:00,5.15,5.155,5.15,5.15,684
2020/10/09 21:56:00,5.15,5.155,5.15,5.15,1333
2020/10/09 21:57:00,5.155,5.16,5.15,5.15,2870
2020/10/09 21:58:00,5.15,5.16,5.15,5.16,2611
2020/10/09 21:59:00,5.155,5.16,5.15,5.15,28867
